M1,M2,M3,M4,M5,M6,M7,M8,M1M1,M2M2,M3M3,M4M4,M5M5,M6M6,M7M7,M8M8,M2M1,M3M1,M3M2,M4M1,M4M2,M4M3,M5M1,M5M2,M5M3,M5M4,M6M1,M6M2,M6M3,M6M4,M6M5,M7M1,M7M2,M7M3,M7M4,M7M5,M7M6,M8M1,M8M2,M8M3,M8M4,M8M5,M8M6,M8M7
87.94161858274916,-93.73220227196592,-2647.490544933748,-1506.6281396024626,51.10815515005778,-68.3416021099904,-23449.524251053925,-595.2113960782216,7733.728278953732,8785.725742752733,7009206.185513594,2269928.3510419778,2612.043522842378,4670.574578960245,549880187.6007662,354276.6060213856,-16485.923162244642,-465649.20740799676,496310.23854169465,-264990.6343979134,282439.14705970744,7977567.508657285,8989.067773348697,-9580.959872544465,-270616.71505757,-154001.96942449117,-12020.142212181563,12811.617745127667,361867.49082364776,205930.76168885315,-6985.6264076818115,-4124378.2352662217,4395951.100562314,124164787.47571978,70659426.1938564,-2396923.847235813,3205156.1120681963,-104687.7071400332,111580.94994356617,3151633.0867078155,1793524.476687031,-60840.31275569649,81355.40080421945,27914848.13367984
87.94161858274916,-82.1510348935324,-2647.490544933748,-1506.6281396024626,51.10815515005778,-33.87470819012516,-23449.524251053925,-595.2113960782216,7733.728278953732,6748.792534078378,7009206.185513594,2269928.3510419778,2612.043522842378,1147.4958549661328,549880187.6007662,354276.6060213856,-14448.989953570286,-465649.20740799676,434988.17627429886,-264990.6343979134,247542.1217361194,7977567.508657285,8989.067773348697,-8397.17567415293,-270616.71505757,-154001.96942449117,-5957.993334515832,5565.6846690704,179365.9392914923,102073.17716012915,-3462.5476836876996,-4124378.2352662217,3852805.3699701303,124164787.47571978,70659426.1938564,-2396923.847235813,1588691.58240343,-104687.7071400332,97794.46433650023,3151633.0867078155,1793524.476687031,-60840.31275569649,40325.224707173526,27914848.13367984
105.61922218614718,-112.67321036883254,-3928.7933672083673,-3193.0153751549365,92.41470510021574,-103.7537021629546,-10151.705676290607,-2056.152917515868,11155.420095206726,12695.252334819193,15435417.322220461,10195347.18597582,8540.477718759841,10764.83071251909,103057128.13803093,4227764.820209016,-23800.913680744456,-829912.1991492838,885339.5231182846,-674487.6007045467,719534.5861514978,25089395.2546061,19521.538542493912,-20825.32301786046,-726156.5608604897,-590163.1485507963,-21916.770642768883,23380.525420703558,815253.7137622569,662574.33247112,-19176.73557689013,-2144430.5147850183,2287650.538534326,79767907.85372414,64829104.6168871,-1876333.7726771652,2106554.0943676624,-434338.54368760646,463346.70045150834,16156399.88860495,13130655.758595692,-380037.53102635435,426666.954810863,41746918.48813466
105.61922218614718,-98.56523400346182,-3928.7933672083673,-3193.0153751549365,92.41470510021574,-81.07570803747689,-10151.705676290607,-2056.152917515868,11155.420095206726,9715.105354157187,15435417.322220461,10195347.18597582,8540.477718759841,6573.270433778194,103057128.13803093,4227764.820209016,-20820.766700082448,-829912.1991492838,774484.8751802829,-674487.6007045467,629440.6152575955,25089395.2546061,19521.538542493912,-18217.754067127364,-726156.5608604897,-590163.1485507963,-17126.30644221894,15982.49226942052,637059.4079587226,517751.9646304727,-14985.175298149235,-2144430.5147850183,2001210.4910357108,79767907.85372414,64829104.6168871,-1876333.7726771652,1646113.4509866682,-434338.54368760646,405330.38692370453,16156399.88860495,13130655.758595692,-380037.53102635435,333408.10724184563,41746918.48813466
38.19785932688191,-44.560185572492436,-3196.109149176579,-220.24891497923733,55.43513694762052,-62.32609055863561,-3749.2844013180165,-124.51119697771351,1459.0764571562595,1985.610138254963,10215113.693450237,48509.58454953131,3073.054408401442,3884.5415643232473,14057133.521966597,15503.038172822973,-3404.207400155638,-244169.05534721442,284838.43359449855,-16826.074142550562,19628.66504722985,1407879.1445227098,4235.007125783285,-4940.399979245005,-354353.49676829315,-24419.0575288777,-4761.446479106532,5554.524322601544,398401.9765337266,27454.507640874363,-6910.110731055527,-286429.2762760365,334137.61737356405,23966244.35583509,1651551.642677745,-415684.18848528335,467356.4782532532,-9512.12237355277,11096.484086360148,795902.7516707948,54846.91207421499,-13804.590511943405,15520.592276794177,933655.7772359524
38.19785932688191,-31.835533081271386,-3196.109149176579,-220.24891497923733,55.43513694762052,-48.54418333660543,-3749.2844013180165,-124.51119697771351,1459.0764571562595,1013.5011665687248,10215113.693450237,48509.58454953131,3073.054408401442,2356.5377358179603,14057133.521966597,15503.038172822973,-2432.0984284693996,-244169.05534721442,203499.67709993027,-16826.074142550562,14023.483237871278,1407879.1445227098,4235.007125783285,-3529.6142723215657,-354353.49676829315,-24419.0575288777,-3708.567772460038,3090.8599090316106,310305.0170028597,21383.607416881037,-5382.10690255024,-286429.2762760365,238720.935178509,23966244.35583509,1651551.642677745,-415684.18848528335,364011.8987173134,-9512.12237355277,7927.760660745393,795902.7516707948,54846.91207421499,-13804.590511943405,12088.588747092632,933655.7772359524
112.88650265915273,-115.25933336027688,-444.5526855329556,-3965.9728677720177,56.12831581355256,-73.7138500326159,-24417.481332353862,-656.0582822503336,12743.362482614895,13284.713926655435,197627.0902145629,15728940.787903802,3150.3878360658946,5433.731686630987,596213394.6158494,430412.4697092584,-26022.446083734132,-100367.99583509895,102477.69235609853,-895409.6133677468,914230.7777286966,3526167.778237776,12672.25854468073,-12938.62452661031,-49903.9870587133,-445206.7552605771,-16642.597455446557,16992.418428357465,65539.37998594588,584694.2584167402,-8274.868508927033,-5512808.142709153,5628685.241408223,21709713.80049744,193678136.9268903,-2741024.2071877634,3599813.1142146615,-148120.25004762292,151233.68051532365,583304.9424810471,5203818.694163878,-73646.89291648706,96721.16366091336,32038581.719567325
112.88650265915273,-110.51367195802857,-444.5526855329556,-3965.9728677720177,56.12831581355256,-38.54278159448923,-24417.481332353862,-656.0582822503336,12743.362482614895,12213.27168964675,197627.0902145629,15728940.787903802,3150.3878360658946,1485.5460130404977,596213394.6158494,430412.4697092584,-24951.00384672545,-100367.99583509895,98258.29931409938,-895409.6133677468,876588.4490067972,3526167.778237776,12672.25854468073,-12405.89256275115,-49903.9870587133,-445206.7552605771,-8701.919633914902,8519.008642966648,34268.59413148071,305719.252104414,-4326.6828353365445,-5512808.142709153,5396931.044010082,21709713.80049744,193678136.9268903,-2741024.2071877634,1882235.3001608655,-148120.25004762292,145006.81957992216,583304.9424810471,5203818.694163878,-73646.89291648706,50572.62217206075,32038581.719567325
38.09572057516931,-40.22576032130606,-358.2326346394151,-150.78600726469196,47.9446936915903,-57.98318292845708,-7956.580255865243,-205.76681633876905,1451.2839261413783,1618.1117934271613,128330.62052069667,22736.419986827736,2298.693653180419,3362.049502514917,63307169.36802462,42339.98270619271,-3064.8586502484172,-27294.26070025975,28820.36020055023,-11488.60319880231,12130.963576072427,108032.93729837718,3652.9753078738136,-3857.2235142326927,-34350.70787623628,-14458.777862567133,-4417.822269802857,4664.83523829312,41542.93677048067,17486.105284560585,-5559.971889536646,-606223.3163227029,640118.9806993427,5700613.415557115,2399481.9365260024,-762951.6064000286,922695.6969215685,-15677.670277767857,16554.253272243055,147424.77747680375,62053.51332658033,-19730.853962512003,23862.029904754156,3274400.376386599
38.09572057516931,-35.96568082903256,-358.2326346394151,-150.78600726469196,47.9446936915903,-37.90620445472352,-7956.580255865243,-205.76681633876905,1451.2839261413783,1293.53019749584,128330.62052069667,22736.419986827736,2298.693653180419,1436.8803361633013,63307169.36802462,42339.98270619271,-2740.277054317096,-27294.26070025975,25768.161199969272,-11488.60319880231,10846.24282153219,108032.93729837718,3652.9753078738136,-3448.727101514935,-34350.70787623628,-14458.777862567133,-2888.128345944771,2726.6449017172768,27158.47898199188,11431.450440573679,-3634.80272318503,-606223.3163227029,572327.651946063,5700613.415557115,2399481.9365260024,-762951.6064000286,603207.5158784885,-15677.670277767857,14801.087283292658,147424.77747680375,62053.51332658033,-19730.853962512003,15599.678020269848,3274400.376386599
75.13292237502078,-95.95149639335543,-34220.92072566537,-1498.4898354225763,39.87148597620211,-55.422311384881965,-19093.987037884803,-586.2431381127565,5644.956024610899,9206.689660124099,1171071415.3122735,2245471.78686478,1589.7353939504815,3071.632599242817,364580341.0029129,343681.0169842925,-14418.23266057812,-5142235.560966312,6567097.103171965,-225171.8409691242,287564.6840780582,102559403.73242266,5991.322521653446,-7651.4574856865565,-2728877.9216121817,-119494.03291706531,-8328.080438249135,10635.707421915846,3793205.048670374,166099.5405317411,-4419.539822302056,-2869174.0918941037,3664193.2568007577,1306827633.520676,57224290.98792161,-1522611.2728216175,2116465.7903851033,-88092.32037742864,112501.81270451105,40123559.91064387,1756958.7670963982,-46748.77011981497,64981.89949547111,22387437.760347765
75.13292237502078,-54.314348356686146,-34220.92072566537,-1498.4898354225763,39.87148597620211,-24.320660567522253,-19093.987037884803,-586.2431381127565,5644.956024610899,2950.048437411455,1171071415.3122735,2245471.78686478,1589.7353939504815,591.4945304406318,364580341.0029129,343681.0169842925,-8161.591437865476,-5142235.560966312,3717374.0187606593,-225171.8409691242,162778.9978601902,102559403.73242266,5991.322521653446,-4331.187557620336,-2728877.9216121817,-119494.03291706531,-3654.5646050577566,2641.9216606582477,1664550.7945539895,72888.52530238952,-1939.4017534998702,-2869174.0918941037,2074154.92698745,1306827633.520676,57224290.98792161,-1522611.2728216175,928756.7552581319,-88092.32037742864,63682.828050346245,40123559.91064387,1756958.7670963982,-46748.77011981497,28515.640744158838,22387437.760347765
13.532613597300838,-14.164147590608392,-31.49076395403097,-1330.6679414131738,119.14821172584078,-119.2326636611832,-0.5631303643871164,-4781.48944914047,183.13163077385153,200.62307696853753,991.6682144084963,1770677.1703047738,14196.296357465782,14216.428083740835,0.31711580729476646,22862641.35224164,-383.35587255768604,-852.3046809474212,892.0796567718107,-36014.83015492046,37695.55423253447,83807.50008847714,3224.773420190384,-3375.2657120837325,-7504.136422006714,-317093.41124057106,-3227.0591310074506,3377.6580914367373,7509.4553339293725,317318.166206472,-28412.717309077234,-15.241251252316133,15.9525231878644,35.46681076052426,1498.6790454525092,-134.19195177049204,134.28706666873717,-129412.09826957763,135451.44452112488,301145.51118314423,12725149.44435312,-1139411.8345021252,1140219.4465777236,5385.203791615251
13.532613597300838,-12.901079603993283,-31.49076395403097,-1330.6679414131738,119.14821172584078,-119.06375979049837,-0.5631303643871164,-4781.48944914047,183.13163077385153,166.4378549485715,991.6682144084963,1770677.1703047738,14196.296357465782,14176.178895449495,0.31711580729476646,22862641.35224164,-349.17065053772,-852.3046809474212,812.5297051230317,-36014.83015492046,34334.10607730645,83807.50008847714,3224.773420190384,-3074.2811282970356,-7504.136422006714,-317093.41124057106,-3222.487709373318,3072.1020860159083,7498.817510084056,316868.65627467015,-28372.468120785896,-15.241251252316133,14.529979316767866,35.46681076052426,1498.6790454525092,-134.19195177049204,134.09683687224688,-129412.09826957763,123372.7520180304,301145.51118314423,12725149.44435312,-1139411.8345021252,1138604.2224265267,5385.203791615251
118.14354184761235,-118.19248670142113,-0.18914889291614276,-4643.547086734725,84.2464781006447,-86.97319149970045,-587.0413821327236,-1187.6911942191168,13957.896480298532,13969.463912665611,0.03577730369140244,21562529.54672255,7097.469072362406,7564.336039643566,344617.5843362984,1410610.3728256319,-27927.357997365427,-44.69344029133572,44.711956021159466,-1097210.1991260047,1097664.7545926336,1756.6435813197063,19906.35462199495,-19914.60148510403,-31.87025612964202,-782404.975903819,-20550.641779130525,20559.155559417,32.90176577110404,807728.2200249108,-14654.370146045381,-138710.29619255525,138767.76150181162,222.07645505273393,5451908.59959027,-98912.33788803338,102113.72509295639,-280636.0886125338,280752.3513562759,449.3009490255949,11030199.969713332,-200117.60036821873,206594.58735465433,1394447.7604025109
